record number,datetime,season,holiday,weather,temp,humidity,windspeed,casual,registered,all_users
1,1/14/12 6:00,1,0,1,-2,50,0.00,0,5,5
2,7/24/11 4:00,3,0,1,30,66,7.00,1,5,6
3,10/9/11 7:00,4,0,1,13,86,0.00,18,26,44
4,12/12/12 21:00,4,0,2,6,52,17.00,16,186,202
5,6/22/11 13:00,3,0,2,32,56,17.00,33,112,145
6,8/24/11 18:00,3,0,1,28,55,20.00,102,518,620
7,1/1/12 20:00,1,0,2,13,62,20.00,25,58,83
8,4/7/11 15:00,2,0,1,21,38,7.00,27,133,160
9,9/25/12 18:00,4,0,1,23,41,15.00,64,758,822
10,8/1/12 4:00,3,0,2,23,78,9.00,1,3,4
11,7/27/12 18:00,3,0,1,32,46,11.00,100,522,622
12,5/25/12 4:00,2,0,2,22,88,0.00,3,5,8
13,8/20/11 12:00,3,0,1,28,58,9.00,156,253,409
14,1/6/11 7:00,1,0,2,71,59,0.00,0,95,95
15,6/27/12 2:00,3,0,1,19,49,9.00,2,12,14
16,12/23/11 18:00,1,0,1,9,50,17.00,4,91,95
17,10/19/12 16:00,4,0,3,22,69,24.00,131,434,565
18,12/23/12 2:00,1,0,1,1,51,11.00,1,17,18
19,1/13/12 12:00,1,0,1,3,38,33.00,14,140,154
20,1/14/11 6:00,1,0,1,-4,54,0.00,0,17,17
21,7/18/11 14:00,3,0,1,32,56,22.00,32,105,137
22,5/23/11 11:00,2,0,1,25,69,26.00,72,107,179
23,4/13/12 19:00,2,0,1,18,24,11.00,75,351,426
24,4/23/12 10:00,2,0,2,7,70,22.00,12,88,100
25,12/26/11 8:00,1,1,1,7,45,9.00,5,13,18
26,12/29/11 7:00,1,0,1,0,64,6.00,2,104,106
27,6/8/11 14:00,2,0,1,37,40,17.00,44,110,154
28,5/17/12 2:00,2,0,1,21,78,11.00,8,8,16
29,10/21/11 13:00,4,0,1,15,48,22.00,43,162,205
30,5/27/12 4:00,2,0,1,22,83,13.00,4,6,10
31,3/15/11 20:00,1,0,2,8,71,19.00,9,79,88
32,6/22/12 0:00,3,0,2,29,70,7.00,16,77,93
33,6/2/12 1:00,2,0,2,19,83,7.00,15,61,76
34,10/28/12 8:00,4,0,2,16,59,37.00,55,118,173
35,11/13/11 4:00,4,0,2,9,62,9.00,1,5,6
36,7/19/11 10:00,3,0,2,32,56,11.00,29,112,141
37,4/14/11 23:00,2,0,1,14,59,7.00,7,40,47
38,6/11/11 11:00,2,0,1,29,62,9.00,110,215,325
39,3/25/11 10:00,2,0,1,4,48,0.00,15,53,68
40,9/1/12 11:00,3,0,2,31,55,15.00,219,273,492
41,12/4/12 23:00,4,0,1,15,67,17.00,5,91,96
42,4/26/11 17:00,2,0,1,25,61,24.00,66,455,521
43,1/11/12 21:00,1,0,3,8,87,15.00,0,29,29
44,9/11/12 3:00,3,0,1,15,67,9.00,1,7,8
45,1/19/12 9:00,1,0,1,-3,54,0.00,6,202,208
46,5/22/12 23:00,2,0,1,22,73,7.00,14,90,104
47,7/6/12 0:00,3,0,1,30,62,9.00,39,63,102
48,4/15/11 18:00,2,1,2,14,67,26.00,47,214,261
49,3/17/11 3:00,1,0,1,8,66,11.00,1,1,2
50,12/9/11 3:00,4,0,1,2,80,0.00,1,5,6
51,5/5/11 11:00,2,0,1,17,36,30.00,43,104,147
52,10/11/11 12:00,4,0,2,21,73,11.00,51,130,181
53,8/18/11 17:00,3,0,3,31,46,20.00,44,365,409
54,10/24/12 16:00,4,0,1,28,33,9.00,67,465,532
55,6/20/12 7:00,2,0,2,24,89,0.00,20,442,462
56,8/21/12 9:00,3,0,1,23,69,0.00,47,281,328
57,4/10/11 21:00,2,0,1,13,88,13.00,18,77,95
58,4/4/12 23:00,2,0,1,17,23,28.00,19,111,130
59,1/6/11 13:00,1,0,1,4,35,7.00,12,55,67
60,12/7/12 11:00,4,0,2,7,76,13.00,20,183,203
61,10/17/11 10:00,4,0,1,17,45,11.00,43,91,134
62,8/16/12 7:00,3,0,1,23,69,15.00,16,448,464
63,6/16/11 16:00,2,0,3,24,69,13.00,36,258,294
64,7/25/12 7:00,3,0,1,24,50,22.00,34,473,507
65,4/1/11 21:00,2,0,1,7,53,9.00,9,83,92
66,10/24/12 21:00,4,0,2,22,61,7.00,33,280,313
67,11/11/11 2:00,4,1,1,7,57,19.00,1,10,11
68,4/16/12 8:00,2,1,2,19,83,11.00,48,548,596
69,3/9/12 8:00,1,0,2,8,42,35.00,17,483,500
70,10/6/12 19:00,4,0,1,15,55,15.00,102,239,341
71,8/4/11 8:00,3,0,2,26,82,24.00,29,365,394
72,2/27/12 20:00,1,0,1,15,33,24.00,11,208,219
73,12/20/11 21:00,4,0,1,9,66,6.00,4,139,143
74,12/14/12 1:00,4,0,1,2,69,6.00,0,26,26
75,8/31/12 21:00,3,0,1,29,58,13.00,71,232,303
76,7/2/12 22:00,3,0,1,28,51,11.00,19,169,188
